7802.jpg;Olea europaea;1;1
11428.jpg;Celtis australis;1;0.266667
11428.jpg;Fagus sylvatica;2;0.2
11428.jpg;Castanea sativa;3;0.133333
11428.jpg;Alnus cordata;4;0.133333
11428.jpg;Ilex aquifolium;5;0.0666667
11428.jpg;Viburnum lantana;6;0.0666667
11428.jpg;Arbutus unedo;7;0.0666667
11428.jpg;Prunus avium;8;0.0666667
10840.jpg;Juniperus oxycedrus;1;1
5252.jpg;Carpinus betulus;1;0.2
5252.jpg;Celtis australis;2;0.2
5252.jpg;Alnus glutinosa;3;0.133333
5252.jpg;Alnus cordata;4;0.133333
5252.jpg;Prunus spinosa;5;0.0666667
5252.jpg;Cornus sanguinea;6;0.0666667
5252.jpg;Mespilus germanica;7;0.0666667
5252.jpg;Quercus ilex;8;0.0666667
5252.jpg;Broussonetia papyrifera;9;0.0666667
1517.jpg;Robinia pseudoacacia;1;0.266667
1517.jpg;Pistacia terebinthus;2;0.266667
1517.jpg;Fraxinus ornus;3;0.2
1517.jpg;Colutea arborescens;4;0.133333
1517.jpg;Sambucus nigra;5;0.0666667
1517.jpg;Acer negundo;6;0.0666667
11429.jpg;Cornus sanguinea;1;0.4
11429.jpg;Fagus sylvatica;2;0.266667
11429.jpg;Euonymus europaeus;3;0.133333
11429.jpg;Paliurus spina-christi;4;0.0666667
11429.jpg;Quercus ilex;5;0.0666667
11429.jpg;Viburnum tinus;6;0.0666667
7116.jpg;Arbutus unedo;1;0.6
7116.jpg;Eriobotrya japonica;2;0.133333
7116.jpg;Pittosporum tobira;3;0.0666667
7116.jpg;Ligustrum vulgare;4;0.0666667
7116.jpg;Prunus laurocerasus;5;0.0666667
7116.jpg;Syringa vulgaris;6;0.0666667
10841.jpg;Populus tremula;1;0.666667
10841.jpg;Corylus avellana;2;0.133333
10841.jpg;Populus nigra;3;0.0666667
10841.jpg;Betula pendula;4;0.0666667
10841.jpg;Betula utilis var. jacquemontii;5;0.0666667
3390.jpg;Sorbus domestica;1;0.6
3390.jpg;Gleditsia triacanthos;2;0.133333
3390.jpg;Fraxinus angustifolia;3;0.0666667
3390.jpg;Fraxinus excelsior;4;0.0666667
3390.jpg;Koelreuteria paniculata;5;0.0666667
3390.jpg;Rhus coriaria;6;0.0666667
10842.jpg;Salix alba;1;0.333333
10842.jpg;Daphne cneorum;2;0.333333
10842.jpg;Nerium oleander;3;0.333333
11430.jpg;Mespilus germanica;1;0.266667
11430.jpg;Quercus petraea;2;0.2
11430.jpg;Quercus robur;3;0.133333
11430.jpg;Cercis siliquastrum;4;0.133333
11430.jpg;Quercus coccifera;5;0.0666667
11430.jpg;Cornus mas;6;0.0666667
11430.jpg;Quercus pubescens;7;0.0666667
11430.jpg;Populus tremula;8;0.0666667
7118.jpg;Laburnum anagyroides;1;0.533333
7118.jpg;Olea europaea;2;0.333333
7118.jpg;Euphorbia characias;3;0.133333
10843.jpg;Daphne cneorum;1;0.6
10843.jpg;Nerium oleander;2;0.2
10843.jpg;Euphorbia characias;3;0.2
11431.jpg;Populus tremula;1;0.4
11431.jpg;Ficus carica;2;0.266667
11431.jpg;Alnus glutinosa;3;0.0666667
11431.jpg;Ginkgo biloba;4;0.0666667
11431.jpg;Populus alba;5;0.0666667
11431.jpg;Acer opalus;6;0.0666667
11431.jpg;Corylus avellana;7;0.0666667
1520.jpg;Corylus avellana;1;1
5944.jpg;Fraxinus angustifolia;1;0.866667
5944.jpg;Sambucus nigra;2;0.133333
11433.jpg;Ulmus minor;1;0.2
11433.jpg;Betula pubescens;2;0.133333
11433.jpg;Sorbus latifolia;3;0.133333
11433.jpg;Arbutus unedo;4;0.133333
11433.jpg;Tilia cordata;5;0.133333
11433.jpg;Viburnum opulus;6;0.0666667
11433.jpg;Corylus avellana;7;0.0666667
11433.jpg;Morus nigra;8;0.0666667
11433.jpg;Betula pendula;9;0.0666667
1522.jpg;Fraxinus angustifolia;1;0.933333
1522.jpg;Sambucus nigra;2;0.0666667
5946.jpg;Aesculus hippocastanum;1;0.933333
5946.jpg;Fraxinus ornus;2;0.0666667
905.jpg;Nerium oleander;1;0.533333
905.jpg;Euphorbia characias;2;0.266667
905.jpg;Olea europaea;3;0.133333
905.jpg;Daphne cneorum;4;0.0666667
6534.jpg;Sorbus domestica;1;0.466667
6534.jpg;Acer saccharinum;2;0.2
6534.jpg;Fraxinus angustifolia;3;0.133333
6534.jpg;Rhus coriaria;4;0.133333
6534.jpg;Gleditsia triacanthos;5;0.0666667
9682.jpg;Syringa vulgaris;1;0.533333
9682.jpg;Hedera helix;2;0.266667
9682.jpg;Frangula dodonei;3;0.0666667
9682.jpg;Cercis siliquastrum;4;0.0666667
9682.jpg;Fagus sylvatica;5;0.0666667
4671.jpg;Ulmus minor;1;0.4
4671.jpg;Carpinus betulus;2;0.333333
4671.jpg;Celtis australis;3;0.0666667
4671.jpg;Betula pendula;4;0.0666667
4671.jpg;Betula pubescens;5;0.0666667
